entity_id,entity_name,entity_type,mention_count,fraud_linked_mentions,distinct_sources,legal_section_count,district_count,average_quality_score,average_reliability_score,network_risk_score,risk_band,supporting_records,districts,legal_sections
silverton-spinners-limited,Silverton Spinners Limited,company,23,0,6,0,1,75.25,0.85,100.0,High,a3838d6b6dd2a389 | 3b63dddada9b7cbb | 76db1a2906a8e71b | 3503a6aedc57757d | efa09500b95fe887 | f904c9626b18a522 | 39dce55dff33127c | 133070802c304c7a | 165b0eba2f221c91 | 982490e8cc02e22f | 0b3f48ed94ab7628 | b84d90be0a333cc5 | e1293e245940384d | f2873420cb0b362e | a64f275bef9f841e | 98bca00b3cf80822 | 379a15f499034eae | 77dfbccb73e4af47 | ec28037bf3fac74d | 448467612c81ce33 | 9914df185c3c83ff | 20643d8cbed67c78 | 90e66fecb3b5975f,South 24 Parganas,
jvl-agro-industries-limited,JVL Agro Industries Limited,company,15,0,10,0,0,70.27,0.85,100.0,High,9a4030c9611c5d68 | e693aa88a6540c96 | ab1152da697c6b4e | 14f799e4c7337f9f | 34695c07269ff17c | 27a0eb856ee34753 | 391f5bb98dd752a4 | 6ab35b1851b1565b | 11c19efe60b0ae69 | 07bf82bae57ca33f | 9509bf967d4abbcc | 33c195ae7f1c4bba | b56cc8b0e000997c | 3f3fd7cc36e1b580 | ddeb8052283e0a90,,
dev-r-nil-design-private-limited,Dev R Nil Design Private Limited,company,6,0,3,0,0,74.93,0.85,100.0,High,e889e1d44ba597ad | f18de0ea1f90b6f7 | 75ce5f2d453fbcbe | 48018d4a69afa3c9 | f9e09aa2bd43b86e | 7415337ac7200917,,
ak-power-industries-private-limited,AK Power Industries Private Limited,company,5,0,3,0,0,65.6,0.85,100.0,High,b3e98655b4f09ac9 | 898ac6379af59b06 | ab44e1f2e99dcaad | b6b930e97ec3351c | 633ad8a089529be9,,
k.s.-oils-limited,K.S. Oils Limited,company,12,0,2,0,1,76.77,0.85,100.0,High,874d850f051b67fe | b1db4d2276c97500 | 1520ee2f8e6a5e5e | 0fcb1b775d7b3f04 | dc2ebf618420cbdf | 0b954838d6c834ab | 72bb0024fb630464 | bd16648e9813cc72 | ad01f57b190be568 | b2b84e21d5ca96d9 | 763b936ec5875607 | f0bb795c900d8a09,Purba Medinipur,
fabricators-private-limited,Fabricators Private Limited,company,5,0,3,0,0,70.4,0.85,100.0,High,429887d9f65ad471 | ef540c17e4975f15 | 5d08a3afc92f8702 | 7d8840fc2f7068db | c751e1975fc3b2ba,,
b.d.motors-limited,B.D.Motors Limited,company,4,0,3,0,0,71.6,0.85,98.39,High,aa59ea6add16690e | c5c3abbfc5643dc4 | 4453d67e1eda7b7b | 723f0af9d1227341,,
prapti-fashions-pvt.-limited,Prapti Fashions Pvt. Limited,company,5,0,1,0,0,65.6,0.85,97.31,High,e75904d8301eb4bf | f0521190fe0eec52 | d6a05ff7f8516f18 | 7eb43c1060e3980a | 45793c66cb1bc771,,
modern-india-concast-limited,Modern India Concast Limited,company,5,0,1,0,0,65.6,0.85,97.31,High,63c56ce4074abddd | 5283fce6f83e142f | c2a5eb16d0dec184 | af4d0b163ae6fc84 | 18d2df917cdd9114,,
khaitan-electricals-ltd,Khaitan Electricals Ltd,company,4,0,2,0,1,77.6,0.85,96.47,High,6c3d949f1ae0ba47 | d9676fb0f7157025 | df808595d6350fbf | 34fe4e50cc1f9d1c,South 24 Parganas,
kolkata-municipal-corporation,Kolkata Municipal Corporation,company,3,0,3,0,2,72.8,0.55,89.6,High,8d6237ea604eed53 | 2b98d04e61c583b1 | 92b66b88c6926748,Kolkata | South 24 Parganas,
capital-electronics-and-appliances-limited,Capital Electronics And Appliances Limited,company,3,0,1,0,0,71.6,0.85,70.39,High,2c8a1ae73540f87d | 69e50aadda3b9c3c | 3f246618a5cfe6a7,,
rajprtim-agencies-private-limited,Rajprtim Agencies Private Limited,company,3,0,1,0,0,71.6,0.85,70.39,High,c605c91e210312ab | 937aec528d4df222 | f4d34d7565c0ac81,,
salasar-exim-limited,Salasar EXIM Limited,company,3,0,1,0,0,67.6,0.85,69.67,Medium,d1e12ae71ae36c9f | f3961f9e5423d72c | c37dd945326724f9,,
techno-fab-manufacturing-ltd,Techno Fab Manufacturing Ltd,company,2,0,2,0,1,76.6,0.85,68.29,Medium,ecac0d6c32d5d599 | b346da9ce06f75bf,Howrah,
bansal-oil-extraction-pvt.-ltd,Bansal Oil Extraction Pvt. Ltd,company,2,0,2,0,0,65.6,0.85,62.31,Medium,8abea275f856c45a | a1d0b295937dff99,,
naresh-retail-mart-llp,Naresh Retail Mart LLP,company,2,0,1,0,0,71.6,0.85,56.39,Medium,b9f84a7d7e070088 | 751352050e81df1f,,
newsprint-private-limited,Newsprint Private Limited,company,2,0,1,0,0,71.6,0.85,56.39,Medium,94f8bcd706b88007 | baaf241d59ae7a44,,
swati-mining-private-limited,Swati Mining Private Limited,company,2,0,1,0,0,65.6,0.85,55.31,Medium,4311ba04513528eb | 4d445fb2828bc11e,,
kolkata's-srei-group,Kolkata's SREI Group,company,1,1,1,0,1,72.4,0.4,52.03,Medium,9bbf677cc69c4cb7,Kolkata,
rnm-infra-private-limited,RNM Infra Private Limited,company,1,0,1,0,1,81.6,0.85,48.19,Medium,eae2eecde0456c69,Hooghly,
srei-group,Srei Group,company,1,1,1,0,0,62.4,0.4,46.23,Medium,df5582ced0318e8d,,
ruia-group,Ruia Group,company,1,1,1,0,0,62.4,0.4,46.23,Medium,7501345f5ff81936,,
corporate-power-ltd,Corporate Power Ltd,company,1,1,1,0,0,62.4,0.4,46.23,Medium,96a7dd152acd9b1b,,
kalyanpur-cements-limited,Kalyanpur Cements Limited,company,1,0,1,0,0,82.0,1.0,45.76,Medium,15777783b7c8f17d,,
sancia-global-infra-project-limited,Sancia Global Infra Project Limited,company,1,0,1,0,0,72.0,1.0,43.96,Low,de61538d00d44449,,
small-tools-mfg.-co.-of-india-ltd,Small Tools Mfg. Co. of India Ltd,company,1,0,1,0,0,72.0,1.0,43.96,Low,02700114643a28ee,,
goldmine-food-products-limited,GoldMine Food Products Limited,company,1,0,1,0,0,72.0,1.0,43.96,Low,e081fbfaf0122b84,,
corporate-ispat-alloys-limited,Corporate Ispat Alloys Limited,company,1,0,1,0,0,72.0,1.0,43.96,Low,3e0b1dfbe3b8a445,,
kohlbros-communications-pvt.-ltd,Kohlbros Communications Pvt. Ltd,company,1,0,1,0,0,72.0,1.0,43.96,Low,b1704cf9a4e624a2,,
paper-trade-&-industries-private-limited,Paper Trade & Industries Private Limited,company,1,0,1,0,0,72.0,1.0,43.96,Low,92dd9520517eba63,,
begwani-trade-and-industries-private-limited,Begwani Trade and Industries Private Limited,company,1,0,1,0,0,72.0,1.0,43.96,Low,ec8c73f2b44d004c,,
iag-company-limited,IAG Company Limited,company,1,0,1,0,0,72.0,1.0,43.96,Low,a3021124d44c27de,,
raghav-sarees-private-limited,Raghav Sarees Private Limited,company,1,0,1,0,0,79.6,0.85,43.83,Low,fb93ab229e0d4550,,
hindusthan-small-tools-private-limited,Hindusthan Small Tools Private Limited,company,1,0,1,0,0,79.6,0.85,43.83,Low,a8b9d6572a009f22,,
sarnamoy-plastic-sack-manufacturing-private-limited,Sarnamoy Plastic Sack Manufacturing Private Limited,company,1,0,1,0,0,79.6,0.85,43.83,Low,54f82917f549fbe2,,
jewellery-limited,Jewellery Limited,company,1,0,1,0,0,68.0,1.0,43.24,Low,bbeae6b7d5462f12,,
agarwal-commodities-broker-private-limited,Agarwal Commodities Broker Private Limited,company,1,0,1,0,0,73.6,0.85,42.75,Low,6fa40fc431820b64,,
purbanchal-petroleum-pvt.-ltd,Purbanchal Petroleum Pvt. Ltd,company,1,0,1,0,0,64.0,1.0,42.52,Low,07f8750176e0947d,,
co.-pvt.-ltd,Co. Pvt. Ltd,company,1,0,1,0,0,64.0,1.0,42.52,Low,f64e087edfd1db51,,
contai-bus-syandicate-pvt.-ltd,Contai Bus Syandicate Pvt. Ltd,company,1,0,1,0,0,64.0,1.0,42.52,Low,a1407aa4da527c1c,,
kd-digital-signature-solution-pvt.-ltd,KD Digital Signature Solution Pvt. Ltd,company,1,0,1,0,0,64.0,1.0,42.52,Low,ba5603365a72be8f,,
agarpara-company-ltd,Agarpara Company Ltd,company,1,0,1,0,0,64.0,1.0,42.52,Low,2e8ac5ca57bf27f0,,
chandra-royal-inn-p.-ltd,Chandra Royal Inn P. Ltd,company,1,0,1,0,0,64.0,1.0,42.52,Low,e8ebea251b994853,,
glory-furnishers-private-limited,Glory Furnishers Private Limited,company,1,0,1,0,0,71.6,0.85,42.39,Low,e6b91198c8480849,,
vincom-industries,Vincom Industries,company,1,0,1,0,0,71.6,0.85,42.39,Low,1785fa5291ddb219,,
insolvency-proceedings-initiated-against-birla-tyres-ltd,Insolvency Proceedings Initiated Against Birla Tyres Ltd,company,1,0,1,0,1,72.4,0.4,42.03,Low,f378b1e94a397964,Kolkata,
kaizen-power-ltd,Kaizen Power Ltd,company,1,0,1,0,0,65.6,0.85,41.31,Low,1408ca5ee5ad0038,,
confitech-sales-private-limited,Confitech Sales Private Limited,company,1,0,1,0,0,65.6,0.85,41.31,Low,318d1d886b2e1522,,
eskay-properties-development-private-limited,Eskay Properties Development Private Limited,company,1,0,1,0,0,65.6,0.85,41.31,Low,8f395b9452a58df7,,
multiple-hotels-private-limited,Multiple Hotels Private Limited,company,1,0,1,0,0,65.6,0.85,41.31,Low,e084dfe71e1103a0,,
west-bengal-housing-infrastructure-development-corporation-ltd,West Bengal Housing Infrastructure Development Corporation Ltd,company,1,0,1,0,0,65.6,0.85,41.31,Low,5bad37cd2df9e5e4,,
hansraj-agrofresh-private-limited,Hansraj Agrofresh Private Limited,company,1,0,1,0,0,65.6,0.85,41.31,Low,31ef8272a749f23a,,
ispat-industries,Ispat Industries,company,1,0,1,0,1,64.4,0.4,40.59,Low,29f3843bc9d564e4,Kolkata,
self-help-group,Self-Help Group,company,1,0,1,0,1,64.4,0.4,40.59,Low,6aa0f5c123a77b38,Bankura,
nicco-corp,Nicco Corp,company,1,0,1,0,0,62.4,0.4,36.23,Low,79c258cfa915c02f,,
central-inland-water-transport-corporation-limited,Central Inland Water Transport Corporation Limited,company,1,0,1,0,0,62.4,0.4,36.23,Low,2da3476b013d93fc,,
incab-industries,Incab Industries,company,1,0,1,0,0,62.4,0.4,36.23,Low,a9393bc6606c1f25,,
madras-high-court-orders-winding-up-of-spicejet-ltd,Madras High Court Orders Winding Up Of SpiceJet Ltd,company,1,0,1,0,0,62.4,0.4,36.23,Low,53b2df62bd0c489a,,
steel-ltd,Steel Ltd,company,1,0,1,0,0,62.4,0.4,36.23,Low,2acf8d9d9f59d1d5,,
radhagobind-commercial-limited,Radhagobind Commercial Limited,company,1,0,1,0,0,62.4,0.4,36.23,Low,a31cddf954dde72b,,
nclt-initiates-insolvency-proceedings-against-diksha-greens-limited,NCLT Initiates Insolvency Proceedings Against Diksha Greens Limited,company,1,0,1,0,0,62.4,0.4,36.23,Low,641dda1de84f299a,,
